latitude,longitude,,,
42.3182512,-71.0570022,,,
42.38357,-71.07435,,,
42.317474,-71.064048,,,
42.355647,-71.062559,,,
42.3522725,-71.0670979,,,
42.2443713,-71.1323638,,,
42.3485916,-71.0854016,,,
42.353291,-71.132319,,,
42.3743217,-71.0399387,,,
42.3494887,-71.1637046,,,
42.35228,-71.06613,,,
N/A,N/A,,,
42.30114,-71.05975,,,
42.35902,-71.05794,,,
42.3366245,-71.1488501,,,
42.3128345,-71.1014787,,,
42.29104,-71.07436,,,
42.3529474,-71.1296157,,,
42.3018809,-71.0602098,,,
42.3645399,-71.0218174,,,
42.3407973,-71.0543392,,,
42.35164,-71.06159,,,
42.29918,-71.05818,,,
42.3359055,-71.07415,,,
N/A,N/A,,,
42.30601,-71.11473,,,
42.33638,-71.14983,,,
42.3502695,-71.0450706,,,
42.3537233,-71.1397233,,,
N/A,N/A,,,
42.3449604,-71.0376773,,,
42.37368,-71.03926,,,
42.349614,-71.081609,,,
42.3323132,-71.0532962,,,
42.35151,-71.13137,,,
42.3445761,-71.0996098,,,
N/A,N/A,,,
42.3431053,-71.0532186,,,
42.34938,-71.084014,,,
42.31581,-71.06265,,,
42.3601165,-71.0579002,,,
42.3359317,-71.0467997,,,
42.36339,-71.05612,,,
42.36456,-71.05537,,,
42.3145933,-71.1038156,,,
42.26707,-71.0946096,,,
N/A,N/A,,,
42.3609306,-71.0684862,,,
N/A,N/A,,,
42.2765,-71.1654,,,
42.345093,-71.070411,,,
42.34261,-71.07464,,,
42.3743217,-71.0399387,,,
42.3645399,-71.0218174,,,
42.370018,-71.039263,,,
42.3438342,-71.0993781,,,
42.32175,-71.11029,,,
42.3514955,-71.0441879,,,
42.3637,-71.13638,,,
42.36216,-71.05749,,,
42.36216,-71.05749,,,
42.268249,-71.0930115,,,
42.32709,-71.06764,,,
42.25613,-71.12304,,,
42.2854,-71.129,,,
42.3544654,-71.0552987,,,
42.36003,-71.05319,,,
42.3271518,-71.0613939,,,
42.342447,-71.054567,,,
42.3498023,-71.0420215,,,
42.35191,-71.11889,,,
N/A,N/A,,,
42.368196,-71.0410907,,,
42.361921,-71.145175,,,
42.3381389,-71.0492054,,,
42.31045,-71.06204,,,
42.3442395,-71.0311336,,,
42.25591,-71.12451,,,
N/A,N/A,,,
N/A,N/A,,,
42.3544654,-71.0552987,,,
42.3803889,-71.039,,,
42.2961606,-71.0872012,,,
42.359276,-71.062359,,,
42.33363,-71.10549,,,
42.3538769,-71.1371676,,,
42.34338,-71.08295,,,
N/A,N/A,,,
42.31239,-71.08272,,,
N/A,N/A,,,
42.35612,-71.1622016,,,
42.2714167,-71.1042789,,,
42.3801974,-71.0722733,,,
42.3350736,-71.0572047,,,
42.36216,-71.05749,,,
42.364414,-71.055372,,,
42.3118143,-71.0538151,,,
42.3304463,-71.0820308,,,
42.2997,-71.0444,,,
42.2443713,-71.1323638,,,
42.3445415,-71.1027656,,,
42.3352334,-71.0352198,,,
42.3477842,-71.0375713,,,
42.3472968,-71.0814575,,,
42.2620785,-71.1085684,,,
42.3364178,-71.0555673,,,
42.3632443,-71.1245257,,,
42.3096055,-71.0822586,,,
42.2921262,-71.0790903,,,
N/A,N/A,,,
42.33687,-71.05605,,,
42.3419875,-71.0864599,,,
42.3524111,-71.1253295,,,
42.3362212,-71.1004278,,,
42.3543973,-71.0634282,,,
42.3264934,-71.0878602,,,
42.34594,-71.0709,,,
42.335067,-71.103716,,,
42.299882,-71.058388,,,
42.34918,-71.08319,,,
42.3445691,-71.1006558,,,
42.3214614,-71.0569602,,,
42.33983,-71.05188,,,
42.38708,-71.00628,,,
42.30879,-71.08334,,,
42.3486892,-71.0881696,,,
42.35351,-71.13238,,,
42.3225607,-71.1082688,,,
42.355864,-71.061899,,,
42.37302,-71.06218,,,
42.3409235,-71.0881905,,,
42.3487064,-71.1589775,,,
42.28611,-71.06369,,,
42.3379,-71.07541,,,
42.3648436,-71.0412023,,,
42.35015,-71.08129,,,
42.3722756,-71.0616894,,,
42.33665,-71.05315,,,
42.29524,-71.0564,,,
42.273507,-71.0675417,,,
42.273507,-71.0675417,,,
42.2852195,-71.0914351,,,
42.348584,-71.0629752,,,
42.35679,-71.05863,,,
42.361921,-71.145175,,,
42.3037284,-71.0847283,,,
42.3431,-71.09889,,,
42.33818,-71.10648,,,
42.34941,-71.0824,,,
42.35847,-71.07047,,,
42.2954,-71.06139,,,
42.350712,-71.090876,,,
42.3141561,-71.0793502,,,
42.37293,-71.03921,,,
42.33687,-71.05605,,,
42.343424,-71.1426,,,
42.34265,-71.09711,,,
42.371739,-71.038772,,,
42.3562,-71.05804,,,
42.3576,-71.05393,,,
42.3757987,-71.0371016,,,
42.28285,-71.05562,,,
42.3421788,-71.0862404,,,
42.3666746,-71.0277206,,,
42.34413,-71.07777,,,
42.33653,-71.14929,,,
42.34523,-71.08713,,,
42.34966,-71.08314,,,
42.3258285,-71.0605548,,,
42.35096,-71.13157,,,
42.35086,-71.060506,,,
42.3577378,-71.0567802,,,
42.37463,-71.03878,,,
42.3364202,-71.1495739,,,
42.35184,-71.1243301,,,
42.3519592,-71.0550268,,,
42.32229,-71.10776,,,
42.3119804,-71.1147652,,,
42.3230901,-71.0990534,,,
42.32779,-71.07492,,,
42.31686,-71.11327,,,
42.3549223,-71.0617078,,,
42.3645399,-71.0218174,,,
42.379087,-71.028441,,,
42.35902,-71.05794,,,
42.3001563,-71.0600327,,,
42.2749929,-71.1147797,,,
42.3497509,-71.081078,,,
42.3402203,-71.0525981,,,
42.3053611,-71.1089983,,,
42.312982,-71.065101,,,
42.34926,-71.15287,,,
42.3634087,-71.0256988,,,
42.36211,-71.06588,,,
42.3749165,-71.0539918,,,
42.34174,-71.07955,,,
42.3411142,-71.0878009,,,
42.25495,-71.12046,,,
42.3522258,-71.0649097,,,
42.3522258,-71.0649097,,,
42.3733,-71.06152,,,
42.346539,-71.0704791,,,
42.3118185,-71.053813,,,
42.35176,-71.07546,,,
42.3476282,-71.1058795,,,
42.3523415,-71.0602302,,,
42.3609468,-71.0684709,,,
42.34679,-71.10573,,,
42.3357903,-71.0372389,,,
42.2559521,-71.1242893,,,
42.3630021,-71.1304367,,,
42.35037,-71.08902,,,
42.3544654,-71.0552987,,,
42.3220822,-71.0621714,,,
42.33999,-71.08142,,,
42.3544654,-71.0552987,,,
N/A,N/A,,,
42.34273,-71.05652,,,
42.3368979,-71.0473982,,,
42.3339422,-71.0416906,,,
42.3645399,-71.0218174,,,
42.35098,-71.06046,,,
42.3303634,-71.0528996,,,
42.2870109,-71.1537564,,,
42.3084,-71.11536,,,
42.34293,-71.07849,,,
42.3437,-71.07094,,,
42.3498,-71.08263,,,
42.346686,-71.088915,,,
42.34243,-71.06723,,,
42.3507551,-71.13087,,,
42.35075,-71.13098,,,
42.352333,-71.13051,,,
42.35927,-71.05643,,,
42.3571501,-71.1444368,,,
42.35927,-71.05643,,,
42.370207,-71.039361,,,
42.365679,-71.0593059,,,
42.3488178,-71.150997,,,
N/A,N/A,,,
42.28619,-71.12901,,,
42.34205,-71.08639,,,
42.34294,-71.07302,,,
42.33869,-71.1078,,,
42.35084,-71.07879,,,
N/A,N/A,,,
N/A,N/A,,,
42.33223,-71.09986,,,
42.36898,-71.04036,,,
42.3317534,-71.0986793,,,
42.36216,-71.05749,,,
42.3448854,-71.0642243,,,
42.3557428,-71.1479021,,,
42.3311135,-71.1119867,,,
42.3656457,-71.0616551,,,
N/A,N/A,,,
N/A,N/A,,,
42.3498681,-71.079231,,,
42.37245,-71.03549,,,
42.3666746,-71.0277206,,,
N/A,N/A,,,
42.37451,-71.038828,,,
42.3575081,-71.0558484,,,
N/A,N/A,,,
42.348955,-71.153641,,,
42.3557428,-71.1479021,,,
42.34192,-71.06669,,,
42.27171,-71.17211,,,
N/A,N/A,,,
42.3522708,-71.0590963,,,
42.36216,-71.05749,,,
42.30521,-71.05757,,,
42.35404,-71.0611,,,
N/A,N/A,,,
42.3666746,-71.0277206,,,
42.3522258,-71.0649097,,,
42.33221,-71.09977,,,
42.34936,-71.08253,,,
42.337405,-71.0856069,,,
42.32241,-71.10656,,,
42.31437,-71.06585,,,
N/A,N/A,,,
N/A,N/A,,,
N/A,N/A,,,
42.3462855,-71.0869904,,,
42.28441,-71.16955,,,
42.35987,-71.05398,,,
42.36216,-71.05749,,,
42.300583,-71.112757,,,
42.35095,-71.04731,,,
42.354615,-71.134075,,,
42.34686,-71.07309,,,
42.285925,-71.129053,,,
42.3626773,-71.018635,,,
42.3626773,-71.018635,,,
42.35557,-71.06243,,,
42.375103,-71.037993,,,
42.35477,-71.05613,,,
42.254144,-71.124084,,,
N/A,N/A,,,
42.3645399,-71.0218174,,,
42.2611306,-71.1568305,,,
42.34594,-71.0709,,,
42.36725,-71.05941,,,
42.3449238,-71.1006866,,,
42.360218,-71.1385351,,,
42.3560333,-71.0552981,,,
42.340294,-71.166405,,,
42.3476282,-71.1058795,,,
42.35497,-71.06067,,,
42.3317534,-71.0986793,,,
42.3508847,-71.0445981,,,
N/A,N/A,,,
42.3217479,-71.1096775,,,
42.348776,-71.084719,,,
42.34242,-71.09657,,,
N/A,N/A,,,
42.37825,-71.02954,,,
42.33366,-71.10544,,,
42.35051,-71.16563,,,
42.2749929,-71.1147797,,,
N/A,N/A,,,
42.3531,-71.05744,,,
N/A,N/A,,,
42.267624,-71.093257,,,
N/A,N/A,,,
42.2867751,-71.1305266,,,
42.367093,-71.0360116,,,
N/A,N/A,,,
42.3634087,-71.0256988,,,
N/A,N/A,,,
N/A,N/A,,,
42.33709,-71.04858,,,
42.339039,-71.1064192,,,
42.338699,-71.107791,,,
42.29171,-71.04003,,,
42.3179869,-71.0817396,,,
42.3511365,-71.063135,,,
42.35072,-71.07921,,,
42.3531087,-71.0472198,,,
42.352169,-71.047592,,,
42.32971,-71.08546,,,
42.3441676,-71.0332263,,,
42.35846,-71.0576,,,
42.3668581,-71.040957,,,
42.328279,-71.0868551,,,
42.29888,-71.11398,,,
42.352008,-71.042559,,,
42.35179,-71.07209,,,
42.3605358,-71.054858,,,
42.3467794,-71.0761003,,,
42.2941073,-71.0721286,,,
42.3532007,-71.1319397,,,
42.3561357,-71.0540683,,,
42.3530368,-71.0574147,,,
42.3301624,-71.0837752,,,
42.31153,-71.11463,,,
42.386578,-71.009157,,,
42.34938,-71.084014,,,
42.363485,-71.1296974,,,
42.3472968,-71.0814575,,,
42.34382,-71.08646,,,
42.355081,-71.062162,,,
42.279598,-71.092686,,,
42.3436984,-71.1018804,,,
42.349974,-71.078821,,,
42.29936,-71.06022,,,
42.310481,-71.1067516,,,
42.362726,-71.140409,,,
42.2869361,-71.1301228,,,
42.30769,-71.11576,,,
42.355081,-71.062162,,,
42.32548,-71.06278,,,
42.34435,-71.08057,,,
42.350654,-71.076368,,,
42.3355248,-71.057302,,,
42.3511522,-71.0453487,,,
42.25605,-71.12345,,,
42.37368,-71.06243,,,
42.31305,-71.08981,,,
42.32146,-71.06264,,,
42.3659381,-71.0632925,,,
42.34583,-71.08737,,,
42.342726,-71.0563712,,,
42.36095,-71.06808,,,
42.3378864,-71.0421926,,,
42.34197,-71.07058,,,
42.37527,-71.06365,,,
42.3438342,-71.0993781,,,
42.2833268,-71.0559285,,,
42.3340692,-71.1055292,,,
42.3263346,-71.0619243,,,
42.35179,-71.07209,,,
42.3561357,-71.0540683,,,
42.3551109,-71.0630032,,,
42.36486,-71.06185,,,
42.3350029,-71.0462284,,,
42.34957,-71.09524,,,
42.3531087,-71.0472198,,,
42.3656095,-71.0593766,,,
42.3553148,-71.0613521,,,
42.3573878,-71.1446909,,,
42.3531868,-71.0475097,,,
42.3517222,-71.046211,,,
42.3531087,-71.0472198,,,
42.3531087,-71.0472198,,,
42.35927,-71.05643,,,
42.3438342,-71.0993781,,,
42.30906,-71.10557,,,
42.3532313,-71.0475362,,,
42.3531087,-71.0472198,,,
42.3462517,-71.082812,,,
42.3572865,-71.1430535,,,
42.37974,-71.02669,,,
42.3517222,-71.046211,,,
42.363485,-71.1296974,,,
42.27234,-71.09324,,,
42.3507234,-71.0609638,,,
42.34181,-71.15461,,,
42.3414321,-71.0853954,,,
42.34738,-71.10332,,,
42.3601165,-71.0579002,,,
42.35137,-71.06613,,,
42.35919,-71.05877,,,
42.3512513,-71.0693751,,,
42.35192,-71.11908,,,
42.2845515,-71.1102442,,,
42.3534843,-71.1324453,,,
42.3113705,-71.0808701,,,
42.351664,-71.1319302,,,
42.3586216,-71.0582613,,,
42.311608,-71.053998,,,
42.34377,-71.06941,,,
42.348624,-71.075972,,,
N/A,N/A,,,
42.3517934,-71.0496441,,,
42.3520448,-71.0661176,,,
42.3511522,-71.0453487,,,
42.3517507,-71.1241581,,,
42.2834198,-71.0651622,,,
42.2834198,-71.0651622,,,
42.33538,-71.03982,,,
