latitude,longitude
42.3659381,-71.0632925
42.3659381,-71.0632925
42.351826,-71.0699
42.351826,-71.0699
42.3338421,-71.1033411
42.3338421,-71.1033411
42.34464,-71.06991
42.34464,-71.06991
42.32428,-71.07546
42.3501146,-71.0440208
42.3501146,-71.0440208
42.3501146,-71.0440208
42.3501146,-71.0440208
42.351467,-71.0602091
42.3494887,-71.1637046
42.3494887,-71.1637046
42.3484939,-71.0958084
42.3484939,-71.0958084
42.3517604,-71.0473618
42.379474,-71.063295
42.38317,-71.05003
42.379474,-71.063295
42.3645399,-71.0218174
42.33508,-71.05729
42.35692,-71.06965
42.35692,-71.06965
42.35692,-71.06965
42.35692,-71.06965
42.3145933,-71.1038156
42.3145933,-71.1038156
42.3145933,-71.1038156
42.3145933,-71.1038156
42.3145933,-71.1038156
42.3145933,-71.1038156
42.3145933,-71.1038156
42.3145933,-71.1038156
42.3145933,-71.1038156
42.3145933,-71.1038156
N/A,N/A
N/A,N/A
42.346519,-71.0953337
42.346519,-71.0953337
42.346519,-71.0953337
42.346519,-71.0953337
42.346519,-71.0953337
42.346519,-71.0953337
42.346519,-71.0953337
42.346519,-71.0953337
42.346519,-71.0953337
42.35164,-71.06159
42.3471636,-71.0990812
42.3548637,-71.0618435
42.3548637,-71.0618435
42.344699,-71.071387
42.344699,-71.071387
42.344699,-71.071387
42.344699,-71.071387
42.344699,-71.071387
42.344699,-71.071387
42.344699,-71.071387
42.344699,-71.071387
42.344699,-71.071387
42.344699,-71.071387
42.344699,-71.071387
42.3650548,-71.0614098
42.3650548,-71.0614098
42.3449604,-71.0376773
42.3449604,-71.0376773
42.3449604,-71.0376773
42.35108,-71.06004
42.35108,-71.06004
42.34347,-71.06347
42.34347,-71.06347
42.34347,-71.06347
42.29584,-71.08368
42.29584,-71.08368
42.29584,-71.08368
42.29584,-71.08368
42.29584,-71.08368
42.29584,-71.08368
42.29584,-71.08368
42.29584,-71.08368
42.29584,-71.08368
42.359113,-71.0600907
42.359113,-71.0600907
42.359113,-71.0600907
42.359113,-71.0600907
42.359113,-71.0600907
42.359113,-71.0600907
42.359113,-71.0600907
42.359113,-71.0600907
42.359113,-71.0600907
42.30053,-71.112809
42.30053,-71.112809
42.30053,-71.112809
42.30053,-71.112809
42.3429035,-71.0536448
42.3429035,-71.0536448
42.3429035,-71.0536448
42.3429035,-71.0536448
42.3429035,-71.0536448
42.3429035,-71.0536448
42.35199,-71.11969
42.3429035,-71.0536448
42.3429035,-71.0536448
42.3429035,-71.0536448
42.35199,-71.11969
42.3373004,-71.0563445
42.3373004,-71.0563445
42.3373004,-71.0563445
42.3373004,-71.0563445
42.2991839,-71.0581807
42.2991839,-71.0581807
42.2991839,-71.0581807
42.28595,-71.15582
42.28595,-71.15582
42.28595,-71.15582
42.28595,-71.15582
42.3542275,-71.0456218
42.3542275,-71.0456218
42.3542275,-71.0456218
42.3542275,-71.0456218
42.3542275,-71.0456218
42.36432,-71.05135
42.36432,-71.05135
42.36432,-71.05135
42.36432,-71.05135
42.31686,-71.11327
42.3531166,-71.1313816
42.3531166,-71.1313816
42.31686,-71.11327
42.3484939,-71.0958084
42.3320345,-71.0527579
42.3320345,-71.0527579
42.3389873,-71.1076943
42.3609306,-71.0684862
42.34881,-71.09936
42.34881,-71.09936
42.3796265,-71.0269287
